id,tipo,estado,valuacion,pedania,written_by_lawyer,predominant_feeling,formality,politeness,referred_company_name,psychological_impact,economic_impact,ValorReclamo,Valuacion_Danios
2519551,URBANO,BALDIO,740795.48,SAN ROQUE,0.7999999999999999,sadness,0.5,1.0,SierraVolt Energética Limitada,0.0,1.0,16566448.14,
2449020,URBANO,BALDIO,1204668.0,SAN ROQUE,0.4,neutral,1.0,1.0,SierraV Segura,0.0,1.0,7775382.68,
2448933,URBANO,BALDIO,1624320.0,SAN ROQUE,0.4,anguish,0.5,1.0,SierraV Segura,1.0,1.0,20201163.26,
1205390,URBANO,EDIFICADO NoPH,2505008.1,SANTIAGO,0.4,neutral,0.0,1.0,Volterra Seguros,0.0,0.7999999999999999,37072357.6,
1141971,URBANO,BALDIO,167513.5,SAN ROQUE,1.0,neutral,0.5,0.5,SierraVolt Energética Limitada,1.0,0.8999999999999999,131149.88,
2335841,URBANO,BALDIO,3414768.0,SANTIAGO,0.4,sadness,0.5,1.0,Volterra Seguros,0.0,1.0,84288835.51,
1204121,URBANO,BALDIO,1590960.0,SANTIAGO,0.4,neutral,0.5,1.0,SierraV Segura,0.0,0.6,57360344.85,
1204123,URBANO,BALDIO,1454040.0,SANTIAGO,0.4,sadness,0.5,1.0,Aseguradora Norte,0.0,1.0,52469166.84,
1204524,URBANO,EDIFICADO NoPH,4545173.62,SANTIAGO,0.4,neutral,0.5,1.0,Aseguradora Norte,0.0,1.0,28093554.46,
1199984,RURAL,EDIFICADO NoPH,16314312.55,SANTIAGO,0.4,neutral,0.5,1.0,Aseguradora Norte,0.0,1.0,299327120.08,
1202019,URBANO,EDIFICADO NoPH,4157832.48,SANTIAGO,0.6,neutral,0.5,1.0,SierraVolt Energética Limitada,0.0,1.0,144515008.36,
1157327,URBANO,EDIFICADO NoPH,2868026.56,SAN ROQUE,0.0,neutral,0.5,0.5,SierraVolt Energética Limitada,0.0,1.0,3122933.27,
2519550,URBANO,EDIFICADO NoPH,2505434.4,SAN ROQUE,0.4,neutral,0.5,1.0,SierraV Segura,0.0,1.0,86695859.82,
1134835,RURAL,EDIFICADO NoPH,10620914.19,SAN ROQUE,0.5,neutral,1.0,1.0,Volterra Seguros,0.0,1.0,103620430.76,
1188848,URBANO,EDIFICADO NoPH,2609876.16,SAN ROQUE,0.5,neutral,1.0,0.5,Volterra Seguros,0.0,0.7,87436538.48,
2449054,URBANO,BALDIO,394989.0,SAN ROQUE,0.4,neutral,0.5,1.0,Aseguradora Norte,0.0,1.0,5378868.83,
2073839,RURAL,BALDIO,267138.91,SAN ROQUE,0.0,neutral,0.5,0.5,SierraVolt Energética Limitada,0.0,0.8999999999999999,4110591.88,
1204555,URBANO,EDIFICADO PH,985259.931,SANTIAGO,0.0,neutral,0.5,0.5,SierraVolt Energética Limitada,0.0,0.7,4467717.95,
1188589,URBANO,EDIFICADO NoPH,2756075.28,SAN ROQUE,0.0,neutral,0.6,1.0,SierraVolt Energética Limitada,0.0,0.7999999999999999,59861805.24,
